,Title,Date,Number of Comments,Number of Views
0,   כותרות,שעה,תגובות,ניצפה
1,   אזכרה במלאת 10 שנים לפטירתו של אבי מורי ז''ל הרב ישעיהו רוטר,"Noam
06/20/2022",52,14505
2,   המלחמה באוקראינה יום 116 (אשכול 103) | אשכול דיווחים,"אסטריקס ושות'
06/20/2022",59,31574
3,   השר זאב אלקין : לעולם לא אשב תחת נתניהו,"האדמירל
06/20/2022",11,1720
4,   יפן: בית משפט באוסקה קבע: האיסור על נישואיים של בני זוג מאותו מין הוא חוקתי,"יוסריאן
06/20/2022",61,9757
5,   גבעת אוהבי-יה: התושבים פונו כדי לאפשר פלישה ערבית לשטח הגבעה,"מתיישב יהודי
06/20/2022",46,9786
6,   צפו: הפגנת עובדי הרכבת בבניין ההנהלה בלוד במחאה על פגיעה בעבודים על ידי הנהלת הרכבת,"Zpatriots
06/20/2022",19,4585
7,   ראשי בלוק נתניהו יפגשו לקראת שש לדון בהעלאת החוק לפיזור הכנסת בהמשך השבוע,"האדמירל
06/20/2022",14,2162
8,   הלך עם הלב | תומר גינת ויתר על חוזה עתק במכבי תל אביב ויחתום בהפועל תל אביב ל- 5 שנים,"micmic
06/20/2022",71,11092
9,   בנט מאשר: ''סיכלנו פיגועים - מחבלים נעצרו על אדמת טורקיה'',"שולחן עבודה
06/20/2022",13,4779
10,   האם הראשון לציון אמר על בן גביר ''יאהבל'',"גדול
06/20/2022",83,24255
11,   עוד גנרל בדרך לפוליטיקה: האלוף במיל צ'ייני אומר לאמיר איבגי שהוא מתכוון להיכנס למערכת הפוליטית,"micmic
06/20/2022",64,17779
12,"   מפס''ד בעניין מר יהודה שפר, עולה כי טען, שלא הבין את חוזה העסקתו, והשלכותיו, השופטת לא קבלה","רנדומלי
06/20/2022",28,12629
13,   החוק להתפזרות הכנסת יעלה רק בשבוע הבא| אורבך לא צפוי לתמוך בחוק השבוע,"בנג'ו
06/20/2022",84,13731
14,"   סמוטריץ': התרעתי ששקד מעבירה 200 מליון לרשויות הערביות שיזלגו לטרור, היא אמרה שאני משקר, היום הוכח שצדקתי | נוספה תגובת שקד","אוהבחדשות
06/20/2022",64,21199
15,"   גופת גבר אותרה במצב ריקבון מתקדם - אשתו, כבדת ראייה שמרותקת למיטה, נמצאה לידו","במבית
06/20/2022",29,14013
16,   לפיד - ההצעות לאורבך עברייניות ונדאג שיחקרו,"האדמירל
06/20/2022",58,10466
17,   טעות תמימה או רשלנות: איך קרה שהתרופה המעולה לסרטן לא אושרה,"זבנג וגמרנו
06/20/2022",38,15520
18,"   מפקד השייטת לשעבר בדיון בכנסת: אי אפשר להתייפף, הקריטריונים לגברים ונשים בלחימה - שונה","קונטרס הספקות
06/20/2022",43,20553
19,   שיא היסטורי במספר התחלות הבנייה - קצב של 80 אלף דירות בשנה,"GuyGeva
06/20/2022",83,19319
20,   הורים ומורים רבים קיבלו בוואטסאפ הודעות לפיהן ביום שלישי יושבתו הלימודים במשך כל היום. בהסתדרות מבהירים: ''מדובר בפייק'',"חןוחסד
06/20/2022",45,18733
21,   הניו יורק טיימס בתחקיר על מותה של העיתונאית| צה''ל ירה לכיוונה 16 כדורים אחד מהם הרג אותה,"האדמירל
06/20/2022",29,7468
22,   גנץ: ''אני ממהר למנות מחליף לכוכבי כדי למנוע תהליך שקרה במשטרת ישראל במשך שנתיים רצופות'',"עבד לעם קדוש
06/20/2022",70,14728
23,   בעקבות גל הפרישות: הכשרת השוטרים תקוצר מ-7 חודשים ל-7 שבועות,"יהודי ציוני
06/20/2022",96,21179
24,   תמונה - יהודי נפצע ומספר כלי רכב ניזוקו אחרי שעשרות ערבים תקפו באבנים קבוצת רכבים יהודים בדרך לסבסטיה.,"אוהבחדשות
06/20/2022",7,4909
25,   הרב צבי טאו מנהיגה הרוחני של מפלגת 'נעם' במכתב תמיכה ברבנים הראשיים בסוגיית הר הבית,"טוק דוגרי
06/20/2022",31,8951
26,   טיסה מוצלחת ראשונה לכטב''מ הרמס 900 בשוויץ,"Brain Damage
06/20/2022",4,3432
27,   הרצון לפיגוע נקמה: כך איראן משתמשת בארגוני פשע בינ''ל בטורקיה,"JCPA2017
06/20/2022",6,7009
28,   ''עוזבת בלב כבד'': הנטישה ההמונית של עובדי ההוראה,"דבש ועוקץ
06/20/2022",132,24848
29,   הדרישה החדשה במו''מ בין ארה''ב לאיראן: להפסיק את חיסולי הבכירים,"צנטריפוגה
06/20/2022",21,15874
30,"   מהצד השני: מפלגת השלטון ימינה מתהדרת בעובדות מול ממשלת נתניהו, אז כמובן שבדקנו אותן","moshemas
06/20/2022",21,17802
31,"   תיעוד חדש של ארגון בצדק מההפגנות בגילה, פועל ערבי מושך בפאות של מפגין חרדי.","אוהבחדשות
06/20/2022",7,3513
32,   פרוייקט פלא | משרד ההגנה האמריקני החל בבניית כור גרעיני נייד לטובת אספקת חשמל לכוחות בשטח,"תמונת_מצב
06/20/2022",17,9732
33,"   ליברמן: השארתי שתי הודעות לניר אורבך. טרם חזר אליי,אשמח לקבל איתו טלפון ולשוחח איתו אישית","האדמירל
06/20/2022",38,9583
34,   מאט וולש: מהי אישה. דוקומנטרי,"חרוב
06/20/2022",45,20983
35,   ליברמן: קורא ליפה בן דוד תפסיקו עם השביתות| נקיים מו''מ רק בשבוע הבא| המחירים כאן עלו אבל לא בהרבה,"בנג'ו
06/20/2022",55,14116
36,"   נתוני קורונה: 10,202 מאומתים חדשים אתמול, 39% חיוביים | 168 חולים קשים | מקדם ההדבקה 1.32 (לעומת 1.3 בעדכון הקודם)","קוראת ותיקה
06/20/2022",143,19700
37,   חשד: הבטיחו למשקיעים ''טכנולוגיות משנות עולם''-והונו אותם ב-120 מיליון שקל | אחד העצורים-בנו של רמטכ''ל לשעבר,"הדוד מאשדוד
06/20/2022",64,27052
38,   ערוץ טלגרם אוקראיני עם שני מיליון עוקבים שם בידיעה על קורונה בישראל תמונה של חרדי מחייך וכיתוב ''הפנים שלך כשאתה הולך לעשות כסף מתרופות'',"אלכס מהכרמל
06/20/2022",153,28380
39,   ישיבת סיעת הליכוד בוטלה| ייתכן שחוששים שכל מה שיצא ממנה יפגע במהלכים מול אורבך,"בנג'ו
06/20/2022",23,8009
40,   ''אי אפשר לעשות כסף ממשמרות'': בני הנוער שסוחרים במניות בבורסה,"נורליק
06/20/2022",51,21433
41,   כאוס במרפאות: מתכננים טיול אחרי צבא? כדאי שתיקחו את זה בחשבון,"kipa_co_il
06/20/2022",5,6784
42,   צפו: פעיל ההסברה יוסף חדאד בעימות מול לבנוני שטוען שישראל כבשה את ירושלים מהפלסטינים,"ישראל_ק
06/20/2022",73,21824
43,   משפט נתניהו | בוטלו 4 דיונים נוספים בבית המשפט עקב היעדרות השופטים; הדיון הקרוב יתקיים ביום רביעי בשבוע הבא,"The Godfather
06/20/2022",56,19005
44,   קמפיין רשת בימין כנגד מעצר מנהלי של נער יהודי: ''מוחזק בתנאים גרועים מאחרוני המחבלים'',"מתיישב יהודי
06/20/2022",40,8911
45,   החשוד בתקיפה מינית בפתח תקווה - בעל תעודת יושר ומועסק כמדריך במעון חוסים של ''אקים'',"איציקציק
06/20/2022",43,12277
46,   לאור בקשת האמריקנים להרגעת השטח טרם ביקור ביידן: שר הבטחון הורה לבטל את הריסת בית המחבל מהפיגוע באריאל,"צנטריפוגה
06/20/2022",32,6275
47,"   אזרבייג’ן: אהוד ברק וציפי לבני הגיעו לביקור, נפגשו עם נשיא אזרבייג’ן ונסיך סעודי","SmokinKills
06/20/2022",80,19352
48,   23 שנות מאסר למחבל שדקר נערה בדרך לבחינת בגרות,"הדוד מאשדוד
06/20/2022",21,12261
49,"   גנץ: הכנו תגובות עוצמתיות נגד איראן, פגיעה באזרחים ישראלים תוביל להפעלתן","רוני53
06/20/2022",49,12231
50,   הצעת החוק של סמוטריץ להחלת ריבונות על יו''ש נדחתה בוועדת שרים.,"האדמירל
06/20/2022",37,8266
51,   ועדת מומחים של מועצת העיר קייב ממליצה לקרוא רחוב על שם יוצא דיוויזיית SS,"אלכס מהכרמל
06/20/2022",24,12017
52,   מפגן תמיכה בד''ר שרון אלרעי פרייס ליד ביתה בחיפה,"יחיעם
06/20/2022",53,12807
53,   בן גביר הורה לגנוז קמפיין אנטי דרעי: ''לא לערוך קרבות פנימיים שיזיקו לכל הימין'',"מרצע
06/20/2022",141,19087
54,   האנטיביוטיקה מאבדת אפקטיביות: ''כבר היום יש חולים שאין לנו מה לתת להם'',"דבש ועוקץ
06/20/2022",79,23782
55,"   הטרדות מיניות ב'סורוקה': ''הוגשו עשר תלונות נגד עובדים, שחלקם פוטרו מעבודתם''","גדותן
06/20/2022",22,14600
56,   השמאל הקיצוני יפגין מול ביתו של אלוף פיקוד מרכז,"פסגה
06/20/2022",8,5743
57,"   גורם בקואליציה: שקד, אורבך ובנט - מתואמים על מלא","טוק דוגרי
06/20/2022",63,21143
58,"   קורונה : נתוני אתמול - 40% מאומתים, 158 חולים קשים, מקדם ההדבקה ירד ל 1.3","קוראת ותיקה
06/20/2022",64,17447
59,   האגף לפיקוח בטחוני במשרד הביטחון מעולם לא נתן אישור לשווק לקטאר את המערכת סייבר המודיעיני של המימד החמישי,"popay
06/20/2022",47,13871
60,"   ח''כ שמחה רוטמן, ציונות דתית: ישראל הייתה לפני נתניהו ותהיה גם אחריו, אסור לוותר על ערכים בגלל איש כזה או אחר","gold1980
06/20/2022",103,21513
61,   ח''כ שמחה רוטמן נגד השגריר האוקראיני: ''כל יום שהוא פה - ביזיון לממשלה'',"ישראל_ק
06/20/2022",35,19416
62,   אפליית הבנות הספרדיות: ח''כ אמילי מואטי הגישה בקשה לדיון דחוף בוועדת החינוך,"מונטנה
06/20/2022",45,7259
63,   איוונקה טראמפ וג'ארד קושנר בדרכם לביקור בישראל,"intelligent
06/20/2022",36,11777
64,   גורמים בקואליציה: התקדמות מול חה''כ גנאים - אופטימיות שיפרוש מהכנסת,"intelligent
06/20/2022",4,2096
65,   ''אלפי בוחרי ימינה מפגינים בכיכר בעד הממשלה'' - האמנם?! ערוץ 14 יצא לבדוק למי הם הצביעו,"Mr_Black
06/20/2022",46,21769
66,   ברגע זה מתארגנת הפגנת נהגי אוטובוס בכניסה לירושלים,"סודה
06/20/2022",7,5271
67,   חברת הדברה שהתרשלה והשאירה חומר רעיל בגן ילדים בשפלה - הורשעה ונקנסה בסך 30 אלף שקלים.,"מי_אמר_ביבי
06/20/2022",21,4608
68,   ח''כ נעמה לזימי הגישה הצעת חוק להגבלת העלאת שכר הדירה,"החלילן
06/20/2022",112,20852
69,   כדי להפעיל לחץ על אורבך: באופוזיציה יעלו השבוע את החוק לפיזור הכנסת,"רוני53
06/20/2022",18,6983
70,   שאשא ביטון: לא הרמנו ידיים בנוגע לחוק הנאשם.יתכן שעוד נצליח להעביר את החוק| אתנגד לכל ישיבה בממשלה תחת נתניהו,"בנג'ו
06/20/2022",62,11322
71,"   כוחותינו פועלים במחנה פליטים דהיישה בבית לחם , דיווח על 2 מחבלים שנורו אחד במצב קשה","שכוייח וכולי
06/20/2022",16,5686
72,   צפו: לפני 3.5 שנים בנט במסיבת עיתונאים תוקף את שרון אפק הפצ''ר,"דפורמביל
06/20/2022",45,16498
73,   אחרי שניסתה לשכנע שמדובר בתאונה: איראן מאשרת כי הפגיעה במתקן הצבאי בפרצ'ין בחודש מאי-הייתה חבלה מכוונת,"טוק דוגרי
06/20/2022",9,5092
74,"   הגילויים החדשים בפרשת המימד החמישי: מי אישר לחברה, בראשה עמד בני גנץ, למכור מערכת מודיעין למדינת אויב?","דבש ועוקץ
06/20/2022",31,19854
75,"   מפלגת השלטון ימינה מתהדרת בעובדות מול ממשלת נתניהו, אז כמובן שבדקנו אותן","uz7
06/20/2022",28,19296
76,"   הסתדרות המורים מאיימת: ''ממשיכים בעיצומים, לא עוצרים כאן''","Pierre
06/20/2022",144,21693
77,"   בן גביר:''אני אומר בצורה ברורה , כל מי שיש לו רב שמורה לו להצביע למפלגה מסויימת הוא חייב לשמוע בקולו''","מתנחל גאה
06/20/2022",138,24103
78,   נתין זר בגילופין דקר גבר כבן 40 ברחובות,"פורטרט
06/20/2022",14,8095
79,   הרפורמה תחכה: הוותק ימשיך לקבוע את שכר המורים; מצטיינים לא יקבלו תמריצים,"טנגרם
06/20/2022",38,15664
80,   הנהגת ההורים על שביתת המורים: לא יכולים לקבל פגיעה מתמשכת בילדים גם אם אנו בעד העלאת השכר,"פיטנגו
06/20/2022",27,9131
81,   אלביט חושפת: מטע''ד אלקטרו-אופטי חדש לאיסוף מודיעין בטנקים וכלי רק''ם,"Brain Damage
06/20/2022",19,14073
82,"   המחבלים בעזה ממשיכים להתאמן, מחבלי הג'יהאד האסלאמי שגרו הבוקר מספר טילים לים","שכוייח וכולי
06/20/2022",11,1963
83,   וועדת הכספים דנה כעת באישור סעיף 46 לעמותת עד כאן (מאפשר לתורם לקבל זיכוי מס בשיעור של עד 35% על תרומה),"בנג'ו
06/20/2022",4,823
84,"   תחקיר בארה''ב: ''השיח ברשת גרם לי לבצע שינוי מין, שנה אחרי הבנתי שטעיתי''","משטח העקומה
06/20/2022",135,24547
85,   נתוני UN Watch: משנת 2015 אוקראינה הצביעה באו''ם בעד 78% מההחלטות המגנות את ישראל,"יחיעם
06/20/2022",76,19864
86,"   המגזין הבינלאומי Ami מפרסם כי קיבל מידע על כך שייתכן והנעדר מוישי קליינרמן נצפה בקרסטעיר, הונגריה, בתאריך 4.5","Goldfinger
06/20/2022",44,23242
87,   הקואליציה תתמוך בחוק של האופוזיציה: עונש מינימום של 4 שנות מאסר למחבלים שיידו אבנים או בקת''בים לעבר רכב,"בנג'ו
06/20/2022",42,9363
88,   במערך הסייבר הלאומי חושדים: הסיבה לאזעקות השווא שנשמעו אמש בירושלים ובאילת - תקיפת סייבר,"gillads6
06/20/2022",26,15848
