,Date,Title,Content,Source
0,"June 20, 2022",German Greens Party’s Emails Compromised by Hackers,"The email accounts were not fully infiltrated and hackers had no direct access, the spokesperson said, adding that only the communication of compromised accounts was automatically forwarded.",Politico
1,"June 18, 2022",Inverse Finance Looted for $1.2 Million via Flash Loan Attack,"A decentralized autonomous organization (DAO) called Inverse Finance has been robbed of cryptocurrency somehow exchangeable for $1.2 million, just two months after being taken for $15.6 million.",The Register
2,"June 17, 2022","Robert Half Discloses Hacking Attack Impacting Over 1,000 Customer Accounts","Information provided by the company to the Maine Attorney General shows that threat actors targeted Robert Half between April 26 and May 16. The incident, discovered on May 31, impacts 1,058 individuals.",Security Week
3,"June 17, 2022","Italy's University of Pisa Suffers Ransomware Attack, $4.5 Million Demanded by Attackers","BlackCat, or ALPHV, a Ransomware as a Service (RaaS) group, has claimed responsibility for the cyberattack and issued a ransom note, stating that the University has until June 16th to pay the ransom.",Security Magazine
4,"June 17, 2022",Ransomware Attack on Montrose Environmental Group Disrupts Lab Testing Services,"The nature of the ransomware attack, “as well as information from law enforcement and independent cybersecurity experts, lead us to believe that this attack has been carried out by highly sophisticated bad actors”, said Montrose.",The Daily Swig
5,"June 17, 2022",Update: Another 1.3M patients added to data breach tally of ransomware attack on Eye Care Leaders,Approximately 1.29 million patients of Texas Tech University Health Sciences Center have been added to the ongoing fallout from the Eye Care Leaders ransomware attack and data theft from December 2021.,SC Magazine
6,"June 16, 2022",2 Texas hospital networks infected by malicious code,"On April 20, the hospitals learned that malicious code had infected their networks as a result of an unauthorized party gaining access to certain systems between ??March 31 and April 24.",Becker's Health IT Review
7,"June 16, 2022",Microsoft Under Attack by BlackCat: Exchange Servers hacked,"Microsoft stated that BlackCat RaaS affiliates are targeting Microsoft Exchange Servers by exploiting unpatched bugs. The unknown threat actor delivered BlackCat ransomware payloads via PsExec. The extent of damage is still unknown, and also there wasn’t any mention of the Exchange vulnerability us ... Read More",Cyware Alerts - Hacker News
8,"June 16, 2022",BeanVPN Exposed 25 Million User Records Due to Unsecured ElasticSearch Instance,"The cache of 18.5GB connection logs allegedly contained more than 25 million records, which included user device and Play Service IDs, connection timestamps, IP addresses and more.",Infosecurity Magazine
9,"June 16, 2022","Extortion Gang Threatens Shoprite, Largest Supermarket Chain in Africa","Yesterday, the ransomware gang known as RansomHouse took responsibility for the attack, posting an evidence sample of 600GB of data it claims it stole from the retailer during the attack.",Bleeping Computer
10,"June 16, 2022",Malaysian Point-of-Sale Software Vendor StoreHub Leaks One Million Customer Records,Researchers at Safety Detectives claim they’ve found almost a million customer records wide open on an Elasticsearch server run by Malaysian point-of-sale software vendor StoreHub.,The Register
11,"June 16, 2022",CHI Health says cybersecurity breach may have exposed some patients' data,"The vendor, MCG Health LLC, determined on March 25 that an unauthorized party had previously obtained personal information that matched data stored on MCG's systems, CHI Health officials said in a press release.",Journalstar
12,"June 16, 2022","700 Avera Health patients' info compromised, including Social Security numbers, report says","MCG Health, one of the vendors of Avera Health, started sending out notices on June 10 to affected customers and advised them to monitor their credit reports and account information, and to check for unfamiliar activity.",ArgusLeader
