,Time,Source,Content
0,null,null,"מבזקי כלכלה
מחפשים חופשה בזול? לחצו כאןלוח שנה עברי"
1,18:40 20/06,כלכליסט,"דרך פרויקט הגז הגדול בהיסטוריה, קטאר תגדיל אחיזה במערב"
2,18:25 20/06,Bizportal,סיפיה: מזנקת 38% - זכתה במכרז של Chery עמה תיכנס לראשונה לאירופה
3,18:25 20/06,גלובס,"האב, הבן ומיזם ההייטק: הסטארט-אפ פרופדו רוצה להנפיק עם הערת ""עסק חי"""
4,18:25 20/06,כלכליסט,"לאחר הסערה: אושר מינוי מאיר שפיגר למנכ""ל חברת החשמל"
5,18:20 20/06,כלכליסט,"לאחר הסערה: ועדת גילאור אישרה את מינוי מאיר שפיגר למנכ""ל חברת החשמל"
6,18:10 20/06,טלנירי,אינטגריטי תוכנה משיקה תכנית הכשרה לתחום פתרונות ה-Citrix
7,18:00 20/06,כלכליסט,"לאחר הסערה: ועדת המינויים אישרה את מינוי מאיר שפיגר למנכ""ל חברת החשמל"
8,17:40 20/06,גלובס,"נעילה ירוקה בת""א; מניות הנפט נפלו, אריקה בי קיור מחקה רבע משוויה"
9,17:40 20/06,גלובס,משקיע אחד ערער את יציבות מיזם הקריפטו סולנה - וננקט נגדו צעד חריג במיוחד
10,17:40 20/06,כלכליסט,"נעילה חיובית בבורסת ת""א; קבוצת דלק צנחה ב-5.4%"
11,17:30 20/06,ice finance,דיור בר השגה: זו ההצעה של הזוגות הצעירים לממשלה
12,17:30 20/06,Bizportal,"הראל פיננסים: עליית התשואות מייצרת הזדמנויות באג""ח לפדיון"
13,17:30 20/06,Bizportal,משתמשים עדיין במזומנים? אתם לא לבד - סקר
14,17:15 20/06,גלובס,"מחשש לקריסה: משקיע הפקיד סולנה ב-170 מיליון דולר, והוחלט להשתלט על חשבונו"
15,17:15 20/06,ice finance,"420 יחידות דיור ייבנו בת""א, בכמה תוכלו לקנות אחת?"
16,17:10 20/06,כלכליסט,סין מרחיבה את האיסור על כניסת רכבי טסלה למחוז בו נפגשים בכירי השלטון
17,17:05 20/06,גלובס,"מחשש לקריסה: המשקיע הפקיד סולנה ב-170 מיליון דולר, והחברה השתלטה על חשבונו"
18,17:05 20/06,כלכליסט,בורסת לונדון עולה ב-1.5%; מפתחת החיסונים Valneva קופצת ב-23% בפריז
19,16:55 20/06,טלנירי,קבוצת מור – הסכם מימון בקרקע בפרויקט טבנקין בגבעתיים:
20,16:50 20/06,גלובס,האם גלי האינפלציה והמיתון העולמיים של שנות ה-70 עלולים לחזור על עצמם?
21,16:45 20/06,טלנירי,פורטינט מציגה יכולות בינה מלאכותית הכוללות יכולות לימוד עצמי בפתרון חדש המאתר ומגיב לאיומים ברשת
22,16:35 20/06,טלנירי,ברקע הצפי לעלייה נוספת במחירי הדלק בעוד שבועיים
23,16:35 20/06,Bizportal,"70 אלף דירות החלו להיבנות השנה, כרבע מהן - בתל אביב והמרכז"
24,16:20 20/06,גלובס,הרעידות בשוק הקריפטו מאיימות על יציבות מטבע גדול נוסף
25,16:10 20/06,גלובס,סוף עידן הכסף הזול מאיים לעצור את תקופת הזוהר של יבואני הרכב
26,15:45 20/06,ice finance,"הקריפטו היומי: הביטקוין ממשיך להתאושש, איזה מטבע התפוצץ השבוע?"
27,15:45 20/06,כלכליסט,בעל מניות נוסף מאיים בתביעה נגזרת נגד יונט קרדיט
28,15:45 20/06,כלכליסט,"נייר זה העבר: בנק ישראל ביצע ניסוי ראשוני ב""שקל דיגיטלי"""
29,15:40 20/06,גלובס,"מגמה חיובית בבורסות אירופה, שוק הקריפטו מתאושש; מחיר הנפט יציב"
30,15:40 20/06,כלכליסט,"ביהמ""ש ביטל הקפצה של 700% בתשלום ארנונה שהוטל על חניון באבן יהודה"
31,15:20 20/06,גלובס,בענף הרכב הישראלי נהנו מגאות חסרת תקדים. הריביות המטפסות והמשבר בהייטק מאיימים להפוך את המגמה
32,null,null,"כדי לשמר פולי קפה נדירים, נספרסו משקמת מקורות קפה שכמעט ונעלמו מהעולם (Nespresso)"
33,15:15 20/06,ice finance,"""מקבלים הנחות במאות אלפי שקלים"": השפעות הזינוק בדירות החדשות"
34,15:05 20/06,כלכליסט,"ליברמן קורא למורים להפסיק העיצומים: ""נעשה מאמץ אמיתי להגיע להסכם"""
35,14:45 20/06,Bizportal,"למה להשקיע במניית אל על, אם יש את ישראייר?"
36,14:45 20/06,ice finance,"ליברמן: ""שיפור דרמטי במצב הכלכלי, מחאת הדיור - מיותרת"""
37,14:45 20/06,כלכליסט,"מנכ""ל שופרסל המודח בדרך לחזור לחברה: מה הסיכוי שלא ימונה ליו""ר?"
38,14:40 20/06,כלכליסט,"מנכ""ל שופרסל המודח בדרך לחזור לחברה: מה הסיכוי שימונה ליו""ר?"
39,14:30 20/06,גלובס,"עליות בבורסה; פוקס מזנקת ב-7%, פתאל קופצת ב-6%"
40,14:30 20/06,כלכליסט,"דו""ח הביקורת על הפרקליטות: כשלים בפרשת נוה-כרייף וגניזת תיק פשע חמור מבלי לעיין בכל חומר החקירה"
41,14:20 20/06,גלובס,"האתגרים של השקל הדיגיטלי: מי כותב את החוזים החכמים, איך תתנהל הפרטיות"
42,14:00 20/06,ice finance,ממשלת בנט לפיד הגבירה את הבנייה ביהודה ושומרון?
43,14:00 20/06,כלכליסט,"מגמה חיובית בבורסת ת""א; רק 3 מניות במדד הדגל נסחרות בירידות"
44,13:55 20/06,כלכליסט,בדרך לישראל? ניאו חושפת רכב כביש שטח חשמלי חדש
